CategoriadeSituacao,Sexo,RendaFamiliar,CorRaca,FaixaEtaria,Turno,CargaHorariaMinimaRegulamentada,InscritoVagas,FatordeEsforcodeCurso,Regiao
"Evadidos","F","NA","Preta","20 a 24 anos","Integral",3600,13,1.16,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,6.4,1.15,"Regiao Centro-Oeste"
"Evadidos","F","0<RFP<=0.5","Preta","15 a 19 anos","Integral",3600,6.4,1.15,"Regiao Centro-Oeste"
"Evadidos","F","0.5<RFP<=1","Preta","25 a 29 anos","Integral",2400,0.375,1.1,"Regiao Sudeste"
"Evadidos","M","NA","Preta","25 a 29 anos","Integral",3600,18.45,1.15,"Regiao Sudeste"
"Evadidos","M","1<RFP<=1.5","Preta","20 a 24 anos","Integral",3600,7.6,1.15,"Regiao Norte"
"Evadidos","F","1.5<RFP<=2.5","Preta","30 a 34 anos","Integral",3600,1.7,1.15,"Regiao Sudeste"
"Evadidos","M","NA","Preta","15 a 19 anos","Integral",3600,0.95,1.16,"Regiao Sudeste"
"Evadidos","F","NA","Preta","25 a 29 anos","Integral",3600,15.55,1.15,"Regiao Sudeste"
"Evadidos","F","1<RFP<=1.5","Preta","20 a 24 anos","Integral",3600,10.925,1.1,"Regiao Sudeste"
"Evadidos","F","1<RFP<=1.5","Preta","20 a 24 anos","Integral",2400,4.9,1.15,"Regiao Sudeste"
"Evadidos","M","NA","Preta","30 a 34 anos","Integral",3000,62.1,1.1,"Regiao Nordeste"
"Evadidos","M","1.5<RFP<=2.5","Preta","25 a 29 anos","Integral",3600,10.925,1.1,"Regiao Sudeste"
"Evadidos","F","1<RFP<=1.5","Preta","25 a 29 anos","Integral",3600,11.025,1.16,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,4.975,1.15,"Regiao Sul"
"Evadidos","M","2.5<RFP<=3.5","Preta","25 a 29 anos","Integral",3600,54.6,1.16,"Regiao Sudeste"
"Evadidos","M","NA","Preta","20 a 24 anos","Integral",3000,25.85,1.1,"Regiao Nordeste"
"Evadidos","F","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,4.925,1.15,"Regiao Sul"
"Evadidos","F","1<RFP<=1.5","Preta","25 a 29 anos","Integral",3200,5.75,1.06,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","25 a 29 anos","Integral",3000,7.9,1.1,"Regiao Sudeste"
"Evadidos","M","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3000,11.725,1,"Regiao Sudeste"
"Evadidos","M","NA","Preta","20 a 24 anos","Integral",2400,4.9,1.15,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,17.375,1.14,"Regiao Norte"
"Evadidos","M","0<RFP<=0.5","Preta","30 a 34 anos","Integral",3600,11.7,1.06,"Regiao Sudeste"
"Evadidos","F","NA","Preta","20 a 24 anos","Integral",3200,19.425,1.15,"Regiao Sudeste"
"Evadidos","F","0.5<RFP<=1","Preta","30 a 34 anos","Integral",3600,12.975,1.15,"Regiao Nordeste"
"Evadidos","M","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,12.975,1.15,"Regiao Nordeste"
"Evadidos","F","1.5<RFP<=2.5","Preta","25 a 29 anos","Integral",3200,19.625,1,"Regiao Sudeste"
"Evadidos","M","0.5<RFP<=1","Preta","30 a 34 anos","Integral",3600,1,1.15,"Regiao Centro-Oeste"
"Evadidos","F","NA","Preta","25 a 29 anos","Integral",3600,26.225,1.15,"Regiao Sudeste"
"Evadidos","M","NA","Preta","30 a 34 anos","Integral",3000,23.225,1.1,"Regiao Nordeste"
"Evadidos","M","RFP>3.5","Preta","50 a 54 anos","Integral",3200,20.325,1,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","30 a 34 anos","Integral",3600,8,1.16,"Regiao Sudeste"
"Evadidos","M","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,16.85,1.16,"Regiao Sudeste"
"Evadidos","F","NA","Preta","30 a 34 anos","Integral",3600,0,1.2,"Regiao Sudeste"
"Evadidos","F","NA","Preta","20 a 24 anos","Integral",3600,2.15,1.1,"Regiao Centro-Oeste"
"Evadidos","F","0<RFP<=0.5","Preta","30 a 34 anos","Integral",3600,47.45,1.14,"Regiao Norte"
"Evadidos","F","NA","Preta","20 a 24 anos","Integral",3600,0.55,1.15,"Regiao Centro-Oeste"
"Evadidos","M","0.5<RFP<=1","Preta","35 a 39 anos","Integral",3600,0,1.14,"Regiao Nordeste"
"Evadidos","M","1<RFP<=1.5","Preta","40 a 44 anos","Integral",3000,30.725,1.1,"Regiao Nordeste"
"Evadidos","M","1.5<RFP<=2.5","Preta","30 a 34 anos","Integral",3600,5.4,1.2,"Regiao Sudeste"
"Evadidos","F","NA","Preta","25 a 29 anos","Integral",3600,29.525,1.15,"Regiao Sudeste"
"Evadidos","F","1<RFP<=1.5","Preta","30 a 34 anos","Integral",3600,14.575,1.14,"Regiao Norte"
"Evadidos","M","RFP>3.5","Preta","25 a 29 anos","Integral",3600,39,1.19,"Regiao Sudeste"
"Evadidos","M","2.5<RFP<=3.5","Preta","20 a 24 anos","Integral",3600,17.125,1.15,"Regiao Sudeste"
"Evadidos","F","1<RFP<=1.5","Preta","15 a 19 anos","Integral",3600,12.325,1.14,"Regiao Norte"
"Evadidos","F","RFP>3.5","Preta","20 a 24 anos","Integral",3200,21,1.15,"Regiao Sudeste"
"Evadidos","M","NA","Preta","35 a 39 anos","Integral",2400,13.025,1.13,"Regiao Sudeste"
"Evadidos","F","2.5<RFP<=3.5","Preta","20 a 24 anos","Integral",3200,24.875,1,"Regiao Sudeste"
"Evadidos","F","1<RFP<=1.5","Preta","25 a 29 anos","Integral",3600,12.6,1.15,"Regiao Centro-Oeste"
"Evadidos","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3000,0.875,1.21,"Regiao Sudeste"
"Evadidos","F","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3000,0.875,1.21,"Regiao Sudeste"
"Evadidos","F","1<RFP<=1.5","Preta","20 a 24 anos","Integral",3600,14.875,1.15,"Regiao Norte"
"Evadidos","M","1.5<RFP<=2.5","Preta","20 a 24 anos","Integral",3600,14.725,1.15,"Regiao Norte"
"Evadidos","F","RFP>3.5","Preta","25 a 29 anos","Integral",3600,34.6,1.06,"Regiao Sudeste"
"Evadidos","M","1.5<RFP<=2.5","Preta","35 a 39 anos","Integral",3600,1.325,1.16,"Regiao Sul"
"Evadidos","F","RFP>3.5","Preta","20 a 24 anos","Integral",3000,19.075,1.21,"Regiao Sudeste"
"Evadidos","F","NA","Preta","25 a 29 anos","Integral",4000,16.225,1.21,"Regiao Centro-Oeste"
"Evadidos","M","NA","Preta","25 a 29 anos","Integral",3600,19.55,1.19,"Regiao Sudeste"
"Concluintes","F","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,16.6,1.15,"Regiao Sudeste"
"Concluintes","M","0.5<RFP<=1","Preta","30 a 34 anos","Integral",3000,0,1.21,"Regiao Nordeste"
"Concluintes","M","1.5<RFP<=2.5","Preta","25 a 29 anos","Integral",3600,12.85,1.14,"Regiao Sudeste"
"Concluintes","M","0<RFP<=0.5","Preta","25 a 29 anos","Integral",4000,31.575,1.21,"Regiao Nordeste"
"Concluintes","F","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,0,1.16,"Regiao Nordeste"
"Concluintes","M","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,63.7,1.14,"Regiao Nordeste"
"Concluintes","M","RFP>3.5","Preta","35 a 39 anos","Integral",3600,44.725,1.16,"Regiao Nordeste"
"Concluintes","M","NA","Preta","25 a 29 anos","Integral",3000,2.55,1,"Regiao Nordeste"
"Concluintes","F","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3000,40.35,1,"Regiao Nordeste"
"Concluintes","M","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3000,0,1.21,"Regiao Nordeste"
"Concluintes","M","NA","Preta","20 a 24 anos","Integral",3000,10.05,1.1,"Regiao Centro-Oeste"
"Concluintes","F","NA","Preta","20 a 24 anos","Integral",3000,10.05,1.1,"Regiao Centro-Oeste"
